gene,locus
gstA,b1635
pdxY,b1636
tyrS,b1637
pdxH,b1638
mliC,b1639
anmK,b1640
slyB,b1641
slyA,b1642
ydhI,b1643
ydhJ,b1644
ydhK,b1645
sodC,b1646
ydhF,b1647
ydhL,b1648
nemR,b1649
nemA,b1650
gloA,b1651
rnt,b1652
lhr,b1653
grxD,b1654
mepH,b1655
sodB,b1656
ydhP,b1657
ynhF,b4602
purR,b1658
ydhB,b1659
ydhC,b1660
cfa,b1661
ribC,b1662
mdtK,b1663
ydhQ,b1664
valV,b1665
valW,b1666
ydhR,b1667
ydhS,b1668
ydhT,b1669
ydhU,b1670
ydhX,b1671
ydhW,b1672
ydhV,b1673
ydhY,b1674
ydhZ,b1675
pykF,b1676
lpp,b1677
ldtE,b1678
sufE,b1679
sufS,b1680
sufD,b1681
sufC,b1682
sufB,b1683
sufA,b1684
rydB,b4430
ydiH,b1685
menI,b1686
ydiJ,b1687
ydiK,b1688
rprA,b4431
ydiL,b1689
ydiM,b1690
ydiN,b1691
ydiB,b1692
aroD,b1693
ydiF,b1694
ydiO,b1695
ydiP,b1696
ydiQ,b1697
ydiR,b1698
ydiS,b1699
ydiT,b1700
fadK,b1701
ppsA,b1702
ppsR,b1703
aroH,b1704
ydiE,b1705
ydiU,b1706
ydiV,b1707
nlpC,b1708
btuD,b1709
btuE,b1710
btuC,b1711
ihfA,b1712
pheT,b1713
pheS,b1714
pheM,b1715
rplT,b1716
rpmI,b1717
infC,b1718
thrS,b1719
arpB,b4494
yniD,b4535
ydiY,b1722
pfkB,b1723
ydiZ,b1724
yniA,b1725
yniB,b1726
yniC,b1727
ydjM,b1728
ydjN,b1729
ydjO,b1730
cedA,b1731
katE,b1732
chbG,b1733
chbF,b1734
chbR,b1735
chbA,b1736
chbC,b1737
chbB,b1738
osmE,b1739
nadE,b1740
cho,b1741
ves,b1742
spy,b1743
astE,b1744
astB,b1745
astD,b1746
astA,b1747
astC,b1748
xthA,b1749
ydjX,b1750
ydjY,b1751
ydjZ,b1752
ynjA,b1753
ynjB,b1754
ynjC,b1755
ynjD,b1756
ynjE,b1757
ynjF,b1758
nudG,b1759
ynjH,b1760
gdhA,b1761
ynjI,b1762
topB,b1763
selD,b1764
ydjA,b1765
sppA,b1766
ansA,b1767
pncA,b1768
ydjE,b1769
ydjF,b1770
ydjG,b1771
ydjH,b1772
ydjI,b1773
ydjJ,b1774
ydjK,b1775
ydjL,b1776
yeaC,b1777
msrB,b1778
gapA,b1779
yeaD,b1780
yeaE,b1781
mipA,b1782
yeaG,b1783
yeaH,b1784
yeaI,b1785
yeaJ,b1786
yeaK,b1787
yoaI,b1788
yeaL,b1789
yeaM,b1790
yeaN,b1791
yeaO,b1792
yoaF,b1793
yeaP,b1794
yoaK,b4676
yoaJ,b4675
yeaQ,b1795
yoaG,b1796
yeaR,b1797
leuE,b1798
dmlR,b1799
dmlA,b1800
yeaV,b1801
yeaW,b1802
yeaX,b1803
rnd,b1804
fadD,b1805
yeaY,b1806
tsaB,b1807
yoaA,b1808
yoaB,b1809
yoaC,b1810
yoaH,b1811
pabB,b1812
nudL,b1813
sdaA,b1814
yoaD,b1815
yoaE,b1816
manX,b1817
manY,b1818
manZ,b1819
yobD,b1820
mntP,b1821
rlmA,b1822
cspC,b1823
yobF,b1824
yebO,b1825
mgrB,b1826
yobH,b4536
kdgR,b1827
yebQ,b1828
htpX,b1829
prc,b1830
proQ,b1831
msrC,b1832
yebS,b1833
yebT,b1834
rsmF,b1835
yebV,b1836
yebW,b1837
pphA,b1838
ryeA,b4432
sdsR,b4433
yebY,b1839
yebZ,b1840
yobA,b1841
holE,b1842
yobB,b1843
exoX,b1844
ptrB,b1845
yebE,b1846
yebF,b1847
yebG,b1848
purT,b1849
eda,b1850
edd,b1851
zwf,b1852
yebK,b1853
pykA,b1854
lpxM,b1855
mepM,b1856
znuA,b1857
znuC,b1858
znuB,b1859
ruvB,b1860
ruvA,b1861
yobI,b4677
yebB,b1862
ruvC,b1863
yebC,b1864
nudB,b1865
aspS,b1866
yecD,b1867
yecE,b1868
yecN,b1869
cmoA,b1870
cmoB,b1871
torZ,b1872
torY,b1873
cutC,b1874
yecM,b1875
argS,b1876
yecT,b1877
flhE,b1878
flhA,b1879
flhB,b1880
cheZ,b1881
cheY,b1882
cheB,b1883
cheR,b1884
tap,b1885
tar,b1886
cheW,b1887
cheA,b1888
motB,b1889
motA,b1890
flhC,b1891
flhD,b1892
insB1_4,b1893
insA_4,b1894
uspC,b1895
otsA,b1896
otsB,b1897
araH,b4460
araG,b1900
araF,b1901
ftnB,b1902
yecJ,b4537
azuC,b4663
yecR,b1904
ftnA,b1905
yecH,b1906
tyrP,b1907
yecA,b1908
leuZ,b1909
cysT,b1910
glyW,b1911
pgsA,b1912
uvrC,b1913
uvrY,b1914
yecF,b1915
sdiA,b1916
yecC,b1917
yecS,b1918
dcyD,b1919
fliY,b1920
fliZ,b1921
fliA,b1922
fliC,b1923
fliD,b1924
fliS,b1925
fliT,b1926
amyA,b1927
yedD,b1928
yedE,b1929
yedF,b1930
yedK,b1931
yedL,b1932
yedN,b4495
intG,b1936
fliE,b1937
fliF,b1938
fliG,b1939
fliH,b1940
fliI,b1941
fliJ,b1942
fliK,b1943
fliL,b1944
fliM,b1945
fliN,b1946
fliO,b1947
fliP,b1948
fliQ,b1949
fliR,b1950
rcsA,b1951
dsrB,b1952
yodD,b1953
dsrA,b1954
yedP,b1955
yedQ,b1956
yodC,b1957
yedI,b1958
yedA,b1959
vsr,b1960
dcm,b1961
yedJ,b1962
yedR,b1963
rseX,b4603
yedS,b4496
hchA,b1967
yedV,b1968
yedW,b1969
hiuH,b1970
yedY,b1971
yedZ,b1972
zinT,b1973
yodB,b1974
serU,b1975
mtfA,b1976
asnT,b1977
yeeJ,b1978
yeeL,b4497
shiA,b1981
amn,b1982
yeeN,b1983
asnW,b1984
yeeO,b1985
asnU,b1986
cbl,b1987
nac,b1988
asnV,b1989
ldtA,b1990
cobT,b1991
cobS,b1992
cobU,b1993
yeeH,b4639
insH1_5,b1994
yoeG,b4640
yoeH,b4641
yoeA,b4582
insD1_3,b1996
insC1_2,b1997
yeeP,b1999
isrC,b4435
flu,b2000
yeeR,b2001
yeeS,b2002
yeeT,b2003
cbeA,b2004
cbtA,b2005
yeeW,b2006
yoeD,b4642
yoeF,b4538
yeeX,b2007
yeeA,b2008
sbmC,b2009
dacD,b2010
sbcB,b2011
yeeD,b2012
yeeE,b2013
plaP,b2014
yoeI,b4678
yeeY,b2015
yeeZ,b2016
yoeB,b4539
yefM,b2017
hisL,b2018
hisG,b2019
hisD,b2020
hisC,b2021
hisB,b2022
hisH,b2023
hisA,b2024
hisF,b2025
hisI,b2026
wzzB,b2027
ugd,b2028
gnd,b2029
wbbL,b4571
insH1_6,b2030
wbbK,b2032
wbbJ,b2033
wbbI,b2034
wbbH,b2035
glf,b2036
wzxB,b2037
rfbC,b2038
rfbA,b2039
rfbD,b2040
rfbB,b2041
wcaN,b2042
wcaM,b2043
wcaL,b2044
wcaK,b2045
wzxC,b2046
wcaJ,b2047
cpsG,b2048
cpsB,b2049
wcaI,b2050
wcaH,b2051
wcaG,b2052
gmd,b2053
wcaF,b2054
wcaE,b2055
wcaD,b2056
wcaC,b2057
wcaB,b2058
wcaA,b2059
wzc,b2060
wzb,b2061
wza,b2062
yegH,b2063
asmA,b2064
dcd,b2065
udk,b2066
yegE,b2067
alkA,b2068
yegD,b2069
yegI,b2070
yegJ,b2071
yegK,b2072
yegL,b2073
sibA,b4436
ibsA,b4667
sibB,b4437
ibsB,b4668
mdtA,b2074
mdtB,b2075
mdtC,b2076
iceT,b2077
baeS,b2078
baeR,b2079
yegP,b2080
yegQ,b2081
cyaR,b4438
ogrK,b2082
yegZ,b2083
yegR,b2085
yegS,b2086
gatR,b4498
insE1_4,b2088
insF1_4,b2089
gatD,b2091
gatC,b2092
gatB,b2093
gatA,b2094
gatZ,b2095
gatY,b2096
fbaB,b2097
yegT,b2098
yegU,b2099
yegV,b2100
yegW,b2101
yegX,b2102
thiD,b2103
thiM,b2104
rcnR,b2105
rcnA,b2106
rcnB,b2107
yehA,b2108
yehB,b2109
yehC,b2110
yehD,b2111
yehE,b2112
mrp,b2113
metG,b2114
yehH,b4499
yehI,b2118
yehK,b4541
yehL,b2119
yehM,b2120
yehP,b2121
yehQ,b2122
yehR,b2123
yehS,b2124
yehT,b2125
yehU,b2126
mlrA,b2127
yohO,b4542
yehW,b2128
yehX,b2129
yehY,b2130
osmF,b2131
bglX,b2132
dld,b2133
pbpG,b2134
yohC,b2135
yohD,b2136
yohF,b2137
mdtQ,b2139
yohP,b4679
dusC,b2140
yohJ,b2141
yohK,b2142
cdd,b2143
sanA,b2144
yeiS,b2145
preT,b2146
preA,b2147
mglC,b2148
mglA,b2149
mglB,b2150
galS,b2151
yeiB,b2152
folE,b2153
yeiG,b2154
cirA,b2155
lysP,b2156
yeiE,b2157
yeiH,b2158
nfo,b2159
yeiI,b2160
nupX,b2161
rihB,b2162
yeiL,b2163
psuT,b2164
psuG,b2165
psuK,b2166
fruA,b2167
fruK,b2168
fruB,b2169
setB,b2170
yeiW,b4502
yeiP,b2171
yeiQ,b2172
yeiR,b2173
lpxT,b2174
mepS,b2175
rtn,b2176
yejA,b2177
yejB,b2178
yejE,b2179
yejF,b2180
yejG,b2181
bcr,b2182
rsuA,b2183
yejH,b2184
rplY,b2185
yejK,b2186
yejL,b2187
yejM,b2188
proL,b2189
yejO,b2190
insH1_7,b2192
narP,b2193
ccmH,b2194
dsbE,b2195
ccmF,b2196
ccmE,b2197
ccmD,b2198
ccmC,b2199
ccmB,b2200
ccmA,b2201
napC,b2202
napB,b2203
napH,b2204
napG,b2205
napA,b2206
napD,b2207
napF,b2208
eco,b2209
mqo,b2210
yojI,b2211
alkB,b2212
ada,b2213
apbE,b2214
ompC,b2215
micF,b4439
rcsD,b2216
rcsB,b2217
rcsC,b2218
atoS,b2219
atoC,b2220
atoD,b2221
atoA,b2222
atoE,b2223
atoB,b2224
yfaP,b2225
yfaQ,b2226
yfaS,b4500
yfaT,b2229
yfaA,b2230
gyrA,b2231
ubiG,b2232
yfaL,b2233
nrdA,b2234
nrdB,b2235
yfaE,b2236
inaA,b2237
yfaH,b2238
glpQ,b2239
glpT,b2240
glpA,b2241
glpB,b2242
glpC,b2243
yfaD,b2244
ypaA,b4543
rhmA,b2245
rhmT,b2246
rhmD,b2247
rhmR,b2248
yfaY,b2249
yfaZ,b2250
nudI,b2251
ais,b2252
arnB,b2253
arnC,b2254
arnA,b2255
arnD,b2256
arnT,b2257
arnE,b4544
arnF,b2258
pmrD,b2259
menE,b2260
menC,b2261
menB,b2262
menH,b2263
menD,b2264
menF,b2265
elaB,b2266
elaA,b2267
rbn,b2268
elaD,b2269
yfbK,b2270
yfbL,b2271
yfbM,b2272
yfbN,b2273
yfbO,b2274
yfbP,b2275
nuoN,b2276
nuoM,b2277
nuoL,b2278
nuoK,b2279
nuoJ,b2280
nuoI,b2281
nuoH,b2282
nuoG,b2283
nuoF,b2284
nuoE,b2285
nuoC,b2286
nuoB,b2287
nuoA,b2288
lrhA,b2289
alaA,b2290
yfbR,b2291
yfbS,b2292
yfbT,b2293
yfbU,b2294
yfbV,b2295
ackA,b2296
pta,b2297
yfcC,b2298
yfcD,b2299
yfcE,b2300
yfcF,b2301
yfcG,b2302
folX,b2303
yfcH,b2304
yfcI,b2305
hisP,b2306
hisM,b2307
hisQ,b2308
hisJ,b2309
argT,b2310
ubiX,b2311
purF,b2312
cvpA,b2313
dedD,b2314
folC,b2315
accD,b2316
dedA,b2317
truA,b2318
usg,b2319
pdxB,b2320
flk,b2321
yfcJ,b2322
fabB,b2323
mnmC,b2324
yfcL,b2325
epmC,b2326
yfcA,b2327
mepA,b2328
aroC,b2329
prmB,b2330
smrB,b2331
yfcO,b2332
yfcP,b2333
yfcQ,b2334
yfcR,b2335
yfcS,b2336
yfcU,b4661
yfcV,b2339
sixA,b2340
fadJ,b2341
fadI,b2342
yfcZ,b2343
fadL,b2344
yfdF,b2345
mlaA,b2346
yfdC,b2347
argW,b2348
intS,b2349
gtrA,b2350
gtrB,b2351
gtrS,b2352
tfaS,b2353
yfdK,b2354
yfdL,b2355
yfdM,b2356
yfdN,b2357
oweS,b2358
yfdP,b2359
yfdQ,b2360
yfdR,b2361
yfdS,b2362
yfdT,b2363
ypdJ,b4545
torI,b4501
pawZ,b4643
dsdC,b2364
dsdX,b2365
dsdA,b2366
emrY,b2367
emrK,b2368
evgA,b2369
evgS,b2370
yfdE,b2371
yfdV,b2372
oxc,b2373
frc,b2374
yfdX,b2375
ypdI,b2376
yfdY,b2377
lpxP,b2378
ypdK,b4680
alaC,b2379
ypdA,b2380
ypdB,b2381
ypdC,b2382
fryA,b2383
ypdE,b2384
ypdF,b2385
fryC,b2386
fryB,b2387
glk,b2388
yfeO,b2389
ypeC,b2390
mntH,b2392
nupC,b2393
insL1_2,b2394
yfeA,b2395
alaX,b2396
alaW,b2397
yfeC,b2398
yfeD,b2399
gltX,b2400
valU,b2401
valX,b2402
valY,b2403
lysV,b2404
xapR,b2405
xapB,b2406
xapA,b2407
yfeN,b2408
yfeR,b2409
yfeH,b2410
ypeB,b4546
ligA,b2411
zipA,b2412
cysZ,b2413
cysK,b2414
ptsH,b2415
ptsI,b2416
crr,b2417
pdxK,b2418
yfeK,b2419
yfeS,b2420
cysM,b2421
cysA,b2422
cysW,b2423
cysU,b2424
cysP,b2425
ucpA,b2426
murR,b2427
murQ,b2428
murP,b2429
yfeW,b2430
yfeX,b2431
yfeY,b2432
yfeZ,b2433
ypeA,b2434
amiA,b2435
hemF,b2436
eutR,b2437
eutK,b2438
eutL,b2439
eutC,b2440
eutB,b2441
intZ,b2442
yffL,b2443
yffM,b2444
yffN,b2445
yffO,b2446
yffP,b2447
yffQ,b2448
yffR,b2449
yffS,b2450
eutA,b2451
eutH,b2452
eutG,b2453
eutJ,b2454
eutE,b2455
eutN,b2456
eutM,b2457
eutD,b2458
eutT,b2459
eutQ,b2460
eutP,b2461
eutS,b2462
maeB,b2463
talA,b2464
tktB,b2465
ypfG,b2466
nudK,b2467
aegA,b2468
narQ,b2469
acrD,b2470
ypfM,b4606
yffB,b2471
dapE,b2472
ypfN,b4547
ypfH,b2473
tmcA,b2474
ypfJ,b2475
purC,b2476
bamC,b2477
dapA,b2478
gcvR,b2479
bcp,b2480
hyfA,b2481
hyfB,b2482
hyfC,b2483
hyfD,b2484
hyfE,b2485
hyfF,b2486
hyfG,b2487
hyfH,b2488
hyfI,b2489
hyfJ,b2490
hyfR,b2491
focB,b2492
yfgO,b2493
bepA,b2494
yfgD,b2495
hda,b2496
uraA,b2497
upp,b2498
purM,b2499
purN,b2500
ppk,b2501
ppx,b2502
yfgF,b2503
yfgG,b2504
yfgH,b2505
yfgI,b2506
guaA,b2507
guaB,b2508
xseA,b2509
yfgJ,b2510
der,b2511
bamB,b2512
yfgM,b2513
hisS,b2514
ispG,b2515
rodZ,b2516
rlmN,b2517
ndk,b2518
pbpC,b2519
yfhM,b2520
sseA,b2521
ryfA,b4440
sseB,b2522
pepB,b2523
iscX,b2524
fdx,b2525
hscA,b2526
hscB,b2527
iscA,b2528
iscU,b2529
iscS,b2530
iscR,b2531
trmJ,b2532
suhB,b2533
yfhR,b2534
csiE,b2535
hcaT,b2536
hcaR,b2537
iroK,b4706
hcaE,b2538
hcaF,b2539
hcaC,b2540
hcaB,b2541
hcaD,b2542
yphA,b2543
yphB,b2544
yphC,b2545
yphD,b2546
yphE,b2547
yphF,b2548
yphG,b2549
yphH,b2550
glyA,b2551
hmp,b2552
glnB,b2553
glrR,b2554
yfhG,b2555
glrK,b2556
glmY,b4441
purL,b2557
mltF,b2558
tadA,b2559
pgpC,b2560
yfhH,b2561
yfhL,b2562
shoB,b4687
ohsC,b4608
acpS,b2563
pdxJ,b2564
recO,b2565
era,b2566
rnc,b2567
lepB,b2568
lepA,b2569
rseC,b2570
rseB,b2571
rseA,b2572
rpoE,b2573
nadB,b2574
trmN,b2575
srmB,b2576
yfiE,b2577
eamB,b2578
grcA,b2579
ung,b2580
yfiF,b2581
trxC,b2582
yfiP,b2583
pka,b2584
pssA,b2585
yfiM,b2586
kgtP,b2587
rrfG,b2588
rrlG,b2589
gltW,b2590
rrsG,b2591
clpB,b2592
ryfD,b4609
yfiH,b2593
rluD,b2594
bamD,b2595
raiA,b2597
pheL,b2598
pheA,b2599
tyrA,b2600
aroF,b2601
yfiL,b2602
yfiR,b2603
yfiN,b2604
yfiB,b2605
rplS,b2606
trmD,b2607
rimM,b2608
rpsP,b2609
ffh,b2610
ypjD,b2611
yfjD,b4461
grpE,b2614
nadK,b2615
recN,b2616
bamE,b2617
ratB,b2618
ratA,b2619
smpB,b2620
ssrA,b2621
intA,b2622
yfjH,b2623
alpA,b2624
yfjI,b2625
yfjJ,b2626
yfjK,b2627
yfjL,b2628
yfjM,b2629
rnlA,b2630
rnlB,b2631
yfjP,b2632
yfjQ,b2633
yfjR,b2634
ypjK,b2635
yfjS,b2636
yfjT,b2637
yfjU,b2638
yfjV,b2641
yfjW,b2642
ypjI,b4644
yfjX,b2643
yfjY,b2644
ypjJ,b4548
yfjZ,b2645
ypjF,b2646
psaA,b4645
ypjA,b2647
pinH,b2648
ypjC,b2650
ileY,b2652
ygaQ,b4462
csiD,b2659
lhgO,b2660
gabD,b2661
gabT,b2662
gabP,b2663
csiR,b2664
ygaU,b2665
yqaE,b2666
ygaV,b2667
ygaP,b2668
stpA,b2669
alaE,b2670
ygaC,b2671
ygaM,b2672
nrdH,b2673
nrdI,b2674
nrdE,b2675
nrdF,b2676
proV,b2677
proW,b2678
proX,b2679
ygaY,b2681
ygaZ,b2682
ygaH,b2683
mprA,b2684
emrA,b2685
emrB,b2686
luxS,b2687
micA,b4442
gshA,b2688
yqaA,b2689
yqaB,b2690
argQ,b2691
argZ,b2692
argY,b2693
argV,b2694
serV,b2695
csrA,b2696
alaS,b2697
recX,b2698
recA,b2699
pncC,b2700
mltB,b2701
srlA,b2702
srlE,b2703
srlB,b2704
srlD,b2705
srlM,b2706
srlR,b2707
srlQ,b2708
norR,b2709
norV,b2710
norW,b2711
hypF,b2712
hydN,b2713
ascG,b2714
ascF,b2715
ascB,b2716
hycI,b2717
hycH,b2718
hycG,b2719
hycF,b2720
hycE,b2721
hycD,b2722
hycC,b2723
hycB,b2724
hycA,b2725
hypA,b2726
hypB,b2727
hypC,b2728
hypD,b2729
hypE,b2730
fhlA,b2731
ygbA,b2732
mutS,b2733
pphB,b2734
ygbI,b2735
ygbJ,b2736
ygbK,b2737
ygbL,b2738
ygbM,b2739
ygbN,b2740
rpoS,b2741
nlpD,b2742
pcm,b2743
umpG,b2744
truD,b2745
ispF,b2746
ispD,b2747
ftsB,b2748
ygbE,b2749
cysC,b2750
cysN,b2751
cysD,b2752
iap,b2753
ygbF,b2754
ygbT,b2755
casE,b2756
casD,b2757
casC,b2758
casB,b2759
casA,b2760
ygcB,b2761
sokX,b4701
cysH,b2762
cysI,b2763
cysJ,b2764
queD,b2765
ygcN,b2766
ygcO,b2767
ygcP,b2768
ygcQ,b2769
ygcR,b2770
ygcS,b2771
ygcU,b4463
ygcW,b2774
yqcE,b2775
ygcE,b2776
queE,b2777
yqcG,b4682
ygcG,b2778
eno,b2779
pyrG,b2780
mazG,b2781
mazF,b2782
mazE,b2783
relA,b2784
rlmD,b2785
barA,b2786
gudD,b2787
gudX,b2788
gudP,b2789
yqcA,b2790
truC,b2791
yqcC,b2792
csrB,b4408
syd,b2793
queF,b2794
ygdH,b2795
sdaC,b2796
sdaB,b2797
ygdG,b2798
fucO,b2799
fucA,b2800
fucP,b2801
fucI,b2802
fucK,b2803
fucU,b2804
fucR,b2805
rlmM,b2806
ygdD,b2807
gcvA,b2808
gcvB,b4443
ygdI,b2809
csdA,b2810
csdE,b2811
tcdA,b2812
mltA,b2813
metZ,b2814
metW,b2815
metV,b2816
amiC,b2817
argA,b2818
recD,b2819
recB,b2820
ptrA,b2821
recC,b2822
ppdC,b2823
ygdB,b2824
ppdB,b2825
ppdA,b2826
thyA,b2827
lgt,b2828
ptsP,b2829
rppH,b2830
mutH,b2831
ygdQ,b2832
ygdR,b2833
tas,b2834
lplT,b2835
aas,b2836
omrA,b4444
omrB,b4445
galR,b2837
lysA,b2838
lysR,b2839
ygeA,b2840
araE,b2841
kduD,b2842
kduI,b2843
yqeF,b2844
yqeG,b2845
yqeH,b2846
yqeI,b2847
yqeJ,b2848
yqeL,b4683
yqeK,b2849
ygeF,b2850
ygeG,b2851
ygeH,b2852
ygeI,b2853
pbl,b2854
ygeK,b2856
ygeN,b2858
ygeO,b2859
insD1_4,b2860
insC1_3,b2861
ygeQ,b2863
glyU,b2864
ygeR,b2865
xdhA,b2866
xdhB,b2867
xdhC,b2868
ygeV,b2869
ygeW,b2870
ygeX,b2871
ygeY,b2872
hyuA,b2873
yqeA,b2874
yqeB,b2875
yqeC,b2876
mocA,b2877
ygfK,b2878
ssnA,b2879
ygfM,b2880
xdhD,b2881
xanQ,b2882
guaD,b2883
ghxQ,b4464
ygfS,b2886
ygfT,b2887
uacT,b2888
yqfG,b4684
idi,b2889
lysS,b2890
prfB,b2891
recJ,b2892
dsbC,b2893
xerD,b2894
fldB,b2895
cptA,b2896
sdhE,b2897
ygfZ,b2898
yqfA,b2899
yqfB,b2900
bglA,b2901
ygfF,b2902
gcvP,b2903
gcvH,b2904
gcvT,b2905
ubiI,b2906
ubiH,b2907
pepP,b2908
ygfB,b2909
zapA,b2910
ssrS,b2911
fau,b2912
sibC,b4446
ibsC,b4665
serA,b2913
rpiA,b2914
yqfE,b2915
argP,b2916
scpA,b2917
argK,b2918
scpB,b2919
scpC,b2920
ygfI,b2921
yggE,b2922
argO,b2923
mscS,b2924
fbaA,b2925
pgk,b2926
epd,b2927
yggC,b2928
yggD,b2929
yggF,b2930
yggP,b4465
cmtA,b2933
cmtB,b2934
tktA,b2935
loiP,b2936
speB,b2937
speA,b2938
yqgB,b2939
yqgC,b2940
metK,b2942
galP,b2943
yggI,b2944
endA,b2945
rsmE,b2946
gshB,b2947
yqgE,b2948
yqgF,b2949
yggR,b2950
yggS,b2951
yggT,b2952
yggU,b2953
rdgB,b2954
yggW,b2955
yggM,b2956
ansB,b2957
yggN,b2958
yggL,b2959
trmI,b2960
mutY,b2961
yggX,b2962
mltC,b2963
nupG,b2964
speC,b2965
yqgA,b2966
pheV,b2967
yghD,b2968
yghE,b2969
yghF,b2970
yghG,b2971
pppA,b2972
sslE,b4466
glcA,b2975
glcB,b2976
glcG,b2977
glcF,b4467
glcE,b4468
glcD,b2979
glcC,b2980
yghO,b2981
insH1_8,b2982
yghQ,b2983
yghR,b2984
yghS,b2985
yghT,b2986
pitB,b2987
gss,b2988
yghU,b2989
hybG,b2990
hybF,b2991
hybE,b2992
hybD,b2993
hybC,b2994
hybB,b2995
hybA,b2996
hybO,b2997
yghW,b2998
yghX,b4658
gpr,b3001
yqhA,b3002
yghA,b3003
exbD,b3005
exbB,b3006
metC,b3008
yghB,b3009
yqhC,b3010
yqhD,b3011
dkgA,b3012
yqhG,b3013
yqhH,b3014
ygiQ,b4469
ftsP,b3017
plsC,b3018
parC,b3019
ygiS,b3020
mqsA,b3021
mqsR,b3022
ygiV,b3023
ygiW,b3024
qseB,b3025
qseC,b3026
ygiZ,b3027
mdaB,b3028
ygiN,b3029
parE,b3030
yqiA,b3031
cpdA,b3032
yqiB,b3033
nudF,b3034
tolC,b3035
ygiB,b3037
ygiC,b3038
ygiD,b3039
zupT,b3040
ribB,b3041
yqiC,b3042
ygiL,b3043
yqiG,b3046
insC1_4,b3044
insD1_5,b3045
yqiH,b3047
yqiI,b3048
glgS,b3049
yqiJ,b3050
yqiK,b3051
sibD,b4447
ibsD,b4664
sibE,b4611
ibsE,b4666
hldE,b3052
glnE,b3053
ygiF,b3054
ygiM,b3055
cca,b3056
bacA,b3057
folB,b3058
plsY,b3059
ttdR,b3060
ttdA,b3061
ttdB,b3062
ttdT,b3063
tsaD,b3064
rpsU,b3065
dnaG,b3066
rpoD,b3067
mug,b3068
ileX,b3069
yqjH,b3070
yqjI,b3071
aer,b3072
patA,b3073
ygjH,b3074
ebgR,b3075
ebgA,b3076
ebgC,b3077
ygjI,b3078
ygjJ,b3079
ygjK,b3080
fadH,b3081
higA,b3082
higB,b3083
rlmG,b3084
ygjP,b3085
ygjQ,b3086
ygjR,b3087
alx,b3088
sstT,b3089
ygjV,b3090
uxaA,b3091
uxaC,b3092
exuT,b3093
exuR,b3094
yqjA,b3095
mzrA,b3096
yqjC,b3097
yqjD,b3098
yqjE,b3099
yqjK,b3100
yqjF,b3101
yqjG,b3102
yhaH,b3103
yhaI,b3104
yhaJ,b3105
yhaK,b3106
yhaL,b3107
yhaM,b4470
yhaO,b3110
tdcG,b4471
tdcF,b3113
tdcE,b3114
tdcD,b3115
tdcC,b3116
tdcB,b3117
tdcA,b3118
tdcR,b3119
yhaB,b3120
yhaC,b3121
rnpB,b3123
garK,b3124
garR,b3125
garL,b3126
garP,b3127
garD,b3128
prlF,b3129
yhaV,b3130
agaR,b3131
kbaZ,b3132
agaV,b3133
agaW,b3134
agaA,b3135
agaS,b3136
kbaY,b3137
agaB,b3138
agaC,b3139
agaD,b3140
agaI,b3141
yraH,b3142
yraI,b3143
yraJ,b3144
yraK,b3145
rsmI,b3146
lpoA,b3147
yraN,b3148
diaA,b3149
yraP,b3150
yraQ,b3151
yraR,b3152
yhbO,b3153
yhbP,b3154
yhbQ,b3155
yhbS,b3156
yhbT,b3157
yhbU,b3158
yhbV,b3159
yhbW,b3160
mtr,b3161
deaD,b3162
yrbN,b4685
nlpI,b3163
pnp,b3164
psrO,b4449
rpsO,b3165
truB,b3166
rbfA,b3167
infB,b3168
nusA,b3169
rimP,b3170
metY,b3171
argG,b3172
yhbX,b3173
leuU,b3174
secG,b3175
glmM,b3176
folP,b3177
ftsH,b3178
rlmE,b3179
yhbY,b3180
greA,b3181
dacB,b3182
obgE,b3183
yhbE,b3184
rpmA,b3185
rplU,b3186
ispB,b3187
sfsB,b3188
murA,b3189
ibaG,b3190
mlaB,b3191
mlaC,b3192
mlaD,b3193
mlaE,b3194
mlaF,b3195
yrbG,b3196
kdsD,b3197
kdsC,b3198
lptC,b3199
lptA,b3200
lptB,b3201
rpoN,b3202
hpf,b3203
ptsN,b3204
yhbJ,b3205
npr,b3206
yrbL,b3207
mtgA,b3208
elbB,b3209
arcZ,b4450
arcB,b3210
yhcC,b3211
gltB,b3212
gltD,b3213
gltF,b3214
yhcA,b3215
yhcD,b3216
yhcE,b4569
insH1_9,b3218
yhcF,b3219
yhcG,b3220
yhcH,b3221
nanK,b3222
nanE,b3223
nanT,b3224
nanA,b3225
nanR,b3226
dcuD,b3227
sspB,b3228
sspA,b3229
rpsI,b3230
rplM,b3231
zapE,b3232
yhcB,b3233
degQ,b3234
degS,b3235
mdh,b3236
argR,b3237
yhcN,b3238
yhcO,b3239
aaeB,b3240
aaeA,b3241
aaeX,b3242
aaeR,b3243
tldD,b3244
yhdP,b4472
rng,b3247
yhdE,b3248
mreD,b3249
mreC,b3250
mreB,b3251
csrD,b3252
acuI,b3253
yrdF,b4697
yrdE,b4646
accB,b3255
accC,b3256
yhdT,b3257
panF,b3258
prmA,b3259
dusB,b3260
fis,b3261
yhdJ,b3262
yhdU,b3263
acrS,b3264
acrE,b3265
acrF,b3266
yhdV,b3267
yhdW,b3268
yhdX,b3269
yhdY,b3270
yhdZ,b3271
rrfF,b3272
thrV,b3273
rrfD,b3274
rrlD,b3275
alaU,b3276
ileU,b3277
rrsD,b3278
yrdA,b3279
