locus,mf,condition,Growth rate (h-1)
b3931,0.0004376017941826327,Glucose,0.58
b1114,6.173311025076429e-05,Glucose,0.58
b1714,0.0012112192517554979,Glucose,0.58
b3256,0.000578259513741336,Glucose,0.58
b2323,0.0037196152505523765,Glucose,0.58
b0221,5.0011633620872295e-05,Glucose,0.58
b2095,0.0004297874764293713,Glucose,0.58
b4177,0.0021059586345039245,Glucose,0.58
b2780,0.0003758686839318684,Glucose,0.58
b1264,0.0004063445231695871,Glucose,0.58
b3213,0.0010002326724174438,Glucose,0.58
b3671,0.0007150100744234085,Glucose,0.58
b1479,0.00021645660176533755,Glucose,0.58
b0724,0.0004297874764293713,Glucose,0.58
gpmI,0.0009689754014043963,Glucose,0.58
b0575,0.0002649053718355578,Glucose,0.58
b4174,0.0003985302054163266,Glucose,0.58
b3035,0.0016996141113343353,Glucose,0.58
b3308,0.004180659997994792,Glucose,0.58
b0185,0.0008752035883652654,Glucose,0.58
b4041,0.00011408903919761529,Glucose,0.58
b2320,0.00019770223915751095,Glucose,0.58
b0907,0.004688590651956782,Glucose,0.58
b2464,0.0003340620839519201,Glucose,0.58
b3565,8.40039158475589e-05,Glucose,0.58
b1852,0.0004454161119358941,Glucose,0.58
b4024,0.001172147662989191,Glucose,0.58
b2600,0.0003860272970111086,Glucose,0.58
b1920,0.002145030223270222,Glucose,0.58
b0727,0.001496441849749541,Glucose,0.58
pckA,0.0004454161119358941,Glucose,0.58
b4235,0.0004063445231695871,Glucose,0.58
b2898,0.00037665011570719433,Glucose,0.58
b0584,0.00019887438682050036,Glucose,0.58
b0805,0.00010744686910734329,Glucose,0.58
b0565,0.003203870278837136,Glucose,0.58
b4058,8.556677939821119e-05,Glucose,0.58
b4266,0.00010744686910734329,Glucose,0.58
b1740,0.0007814317753261294,Glucose,0.58
b2779,0.010705615321967985,Glucose,0.58
b2935,0.0018168288776332564,Glucose,0.58
b4384,0.0004649519063190476,Glucose,0.58
b1538,0.00029694407462392937,Glucose,0.58
b2523,0.000945532448144617,Glucose,0.58
b2310,0.001117447438716365,Glucose,0.58
b0333,0.00013128053825479,Glucose,0.58
b3962,0.00014847203731196469,Glucose,0.58
b3011,0.0002867854615446901,Glucose,0.58
b0586,3.9462304653969596e-05,Glucose,0.58
b0463,0.0006642170090272104,Glucose,0.58
b0929,0.006134239436310122,Glucose,0.58
b2477,0.0004180659997994792,Glucose,0.58
b2514,0.0005743523548647053,Glucose,0.58
b3984,0.004571375885657862,Glucose,0.58
b1288,0.000906460859378311,Glucose,0.58
b4036,0.0002918647680843093,Glucose,0.58
b3417,0.00016097494571718274,Glucose,0.58
b3916,0.00032702919797398557,Glucose,0.58
b3599,0.00025123031576735033,Glucose,0.58
b3751,0.0010119541490473379,Glucose,0.58
b1131,0.0006446812146440569,Glucose,0.58
b3359,0.0011135402798397305,Glucose,0.58
b0072,0.0008947393827484188,Glucose,0.58
b1261,0.001496441849749541,Glucose,0.58
b2903,0.00022817807839522965,Glucose,0.58
b3940,0.00019770223915751095,Glucose,0.58
b0655,0.0010705615321967986,Glucose,0.58
b3251,0.0007853389342027603,Glucose,0.58
b3500,0.00031179127835512623,Glucose,0.58
b2284,0.00012581051582750643,Glucose,0.58
hldD,0.000656402691273949,Glucose,0.58
b2610,0.0002985069381745813,Glucose,0.58
b0408,0.0001855900466399554,Glucose,0.58
b1452,0.0008673892706120038,Glucose,0.58
b2425,0.0009533467658978773,Glucose,0.58
b2569,0.00032273132320969147,Glucose,0.58
b2215,0.008791107472418961,Glucose,0.58
b3780,0.00015159776441326945,Glucose,0.58
b3407,9.338109715147249e-05,Glucose,0.58
b0059,5.977953081244895e-05,Glucose,0.58
b3314,0.00268421814824526,Glucose,0.58
b3617,4.8058054182556946e-05,Glucose,0.58
b4383,0.00029108333630898335,Glucose,0.58
b1854,0.0006329597380141649,Glucose,0.58
b3919,0.001301083905918006,Glucose,0.58
b3176,0.0003352342316149095,Glucose,0.58
b1817,0.0005196521305918764,Glucose,0.58
b0474,0.0008087818874625444,Glucose,0.58
b0754,0.0016449138870615,Glucose,0.58
b2938,0.0006212382613842737,Glucose,0.58
b3941,0.0009416252892679864,Glucose,0.58
b4267,6.603098501505797e-05,Glucose,0.58
b2661,0.0002406809868004477,Glucose,0.58
b1109,0.00020317226158479354,Glucose,0.58
lpoA,0.00023130380549653439,Glucose,0.58
b0334,3.266384820863221e-05,Glucose,0.58
b2520,3.3953210637920366e-05,Glucose,0.58
b0812,0.0005704451959880746,Glucose,0.58
